column_index,package,downloads,py_url,description,image_src
1,boto3,"550,982,659",https://pypistats.org/packages/boto3,"You use the AWS SDK for Python (Boto3) to create, configure, and manage AWS services, such as Amazon Elastic Compute Cloud (Amazon EC2) and Amazon Simple Storage Service (Amazon S3). The SDK provides an object-oriented API as well as low-level access to AWS services.",1.png
2,urllib3,"318,370,855",https://pypistats.org/packages/urllib3,"urllib3 is a powerful, user-friendly HTTP client for Python. Much of the Python ecosystem already uses urllib3 and you should too.",2.png
3,requests,"293,285,819",https://pypistats.org/packages/requests,"Requests is an elegant and simple HTTP library for Python, built for human beings. You are currently looking at the documentation of the development release.",3.png
4,setuptools,"273,973,953",https://pypistats.org/packages/setuptools,"Setuptools is a collection of enhancements to the Python distutils that allow developers to more easily build and distribute Python packages, especially ones that have dependencies on other packages.",4.png
5,botocore,"272,246,038",https://pypistats.org/packages/botocore,Botocore is a low-level interface to a growing number of Amazon Web Services. Botocore serves as the foundation for the AWS-CLI command line utilities. It will also play an important role in the boto3.x project.,5.png
6,idna,"258,956,290",https://pypistats.org/packages/idna,Support for the Internationalized Domain Names in Applications (IDNA) protocol as specified in RFC 5891. This is the latest version of the protocol and is sometimes referred to as “IDNA 2008”.,6.png
7,charset-normalizer,"257,553,389",https://pypistats.org/packages/charset-normalizer,"A Library that helps you read text from unknown charset encoding. This project is motivated by chardet, I’m trying to resolve the issue by taking another approach. All IANA character set names for which the Python core library provides codecs are supported.",7.png
8,certifi,"240,684,433",https://pypistats.org/packages/certifi,Certifi is a carefully curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. It has been extracted from the Requests project.,8.png
9,google-api-core,"234,514,571",https://pypistats.org/packages/google-api-core,"The google-cloud-core package contains helpers common to all google-cloud-* packages. In an attempt to reach a stable API, much of the functionality has been split out into this package, google-api-core.",9.png
10,typing-extensions,"223,236,251",https://pypistats.org/packages/typing-extensions,The `typing_extensions` module serves two related purposes:,10.png
11,s3transfer,"216,500,258",https://pypistats.org/packages/s3transfer,S3transfer is a Python library for managing Amazon S3 transfers. This project is maintained and published by Amazon Web Services.,11.png
12,python-dateutil,"201,920,864",https://pypistats.org/packages/python-dateutil,The dateutil module supports the parsing of dates in any string format. This module provides internal up-to-date world time zone details. This module helps in computing the relative deltas. This module also helps in computing the dates based on pretty flexible rules of recurrence.,12.png
13,six,"182,275,351",https://pypistats.org/packages/six,Six is a Python 2 and 3 compatibility library. It provides utility functions for smoothing over the differences between the Python versions with the goal of writing Python code that is compatible on both Python versions. See the documentation for more information on what is provided.,13.png
14,pyyaml,"179,015,104",https://pypistats.org/packages/pyyaml,"users onPyYAML is a YAML parser and emitter for Python. Using the PyYAML module, we can perform various actions such as reading and writing complex configuration YAML files, serializing and persisting YMAL data. Use it to convert the YAML file into a Python dictionary Python 3.6 through 3.9 to use it too.",14.png
15,cryptography,"161,112,890",https://pypistats.org/packages/cryptography,"cryptography includes both high level recipes and low level interfaces to common cryptographic algorithms such as symmetric ciphers, message digests, and key derivation functions. For example, to encrypt something with cryptography’s high level symmetric encryption recipe",15.png
16,pip,"158,714,958",https://pypistats.org/packages/pip,Pip is a package-management system written in Python and is used to install and manage software packages. The Python Software Foundation recommends using pip for installing Python applications and its dependencies during deployment.,16.png
17,awscli,"153,718,415",https://pypistats.org/packages/awscli,"The AWS Command Line Interface (AWS CLI) is a unified tool to manage your AWS services. With just one tool to download and configure, you can control multiple AWS services from the command line and automate them through scripts.",17.png
18,packaging,"149,674,299",https://pypistats.org/packages/packaging,"Reusable core utilities for various Python Packaging interoperability specifications.
This library provides utilities that implement the interoperability specifications which have clearly one correct behaviour (eg: PEP 440) or benefit greatly from having a single shared implementation (eg: PEP 425).
The packaging project includes the following: version handling, specifiers, markers, requirements, tags, utilities.",18.png
19,numpy,"149,127,050",https://pypistats.org/packages/numpy,"Nearly every scientist working in Python draws on the power of NumPy. NumPy brings the computational power of languages like C and Fortran to Python, a language much easier to learn and use. With this power comes simplicity: a solution in NumPy is often clear and elegant.",19.png
20,wheel,"148,396,723",https://pypistats.org/packages/wheel,whl file is essentially a ZIP ( . zip ) archive with a specially crafted filename that tells installers what Python versions and platforms the wheel will support. A wheel is a type of built distribution.,20.png
